# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1393466
#@/user_id	jysperm
a 	ㄚ	c=1 d=5.42744e-76 t=1393466
de zi duan 	的字段	c=2 d=1.20992e-124 t=1393466
de zu 	的組	c=1 d=3.90138e-45 t=1393466
de zu jian 	的組件	c=1 d=0 t=1393466
de zui 	得罪	c=1 d=0 t=1393466
de zuo yong 	的作用	c=1 d=0 t=1393466
dei 	得	c=1 d=0 t=1393466
den 	㩐	c=3 d=5.81107e-56 t=1393466
den wo 	㩐我	c=1 d=2.09361e-222 t=1393466
deng 	燈	c=40 d=6.03814e-07 t=1393466
deng 	登	c=26 d=3.71173e-47 t=1393466
deng 	等	c=1243 d=0.839264 t=1393466
deng ban dao 	等搬到	c=1 d=0 t=1393466
deng bang 	等幫	c=1 d=7.01805e-276 t=1393466
deng bu dao 	等不到	c=1 d=6.047e-83 t=1393466
deng bu ji 	等不及	c=2 d=0 t=1393466
deng bu li duo 	鄧布利多	c=3 d=0 t=1393466
deng bu liao 	等不了	c=1 d=0 t=1393466
deng bu shang 	等不上	c=1 d=0 t=1393466
deng chang 	等長	c=1 d=0 t=1393466
deng che 	等車	c=2 d=2.12718e-27 t=1393466
deng chi fan 	等吃飯	c=1 d=1.36799e-98 t=1393466
deng chu 	登出	c=10 d=3.45304e-50 t=1393466
deng chu 	等處	c=2 d=3.95095e-164 t=1393466
deng chuan 	登船	c=1 d=1.46353e-10 t=1393466
deng da 	瞪大	c=2 d=1.04785e-138 t=1393466
deng dai 	等待	c=399 d=0.00802655 t=1393466
deng dai yun wei 	等待運維	c=1 d=1.97262e-110 t=1393466
deng dao 	等到	c=30 d=0.289384 t=1393466
deng de 	等得	c=2 d=1.22374e-140 t=1393466
deng deng 	等等	c=54 d=0.00673795 t=1393466
deng dia 	等嗲	c=5 d=1.20675e-152 t=1393466
deng dong tian 	等冬天	c=1 d=0 t=1393466
deng duo 	等多	c=1 d=0 t=1393466
deng fan 	等飯	c=1 d=1.20574e-289 t=1393466
deng gai 	等改	c=1 d=0 t=1393466
deng gao 	登高	c=1 d=9.13036e-107 t=1393466
deng guan 	燈管	c=1 d=1 t=1349781
deng guang 	燈光	c=2 d=2.66075e-13 t=1393466
deng hao 	等號	c=14 d=3.39942e-13 t=1393466
deng hui 	等會	c=1 d=0 t=1393466
deng ji 	登記	c=5 d=0.00503344 t=1393466
deng ji 	等級	c=31 d=0.00502422 t=1393466
deng jia 	等價	c=13 d=0.451581 t=1393466
deng jia wu 	等價物	c=1 d=2.16345e-20 t=1393466
deng jia yu 	等價於	c=1 d=9.43759e-114 t=1393466
deng jia yu 	等價與	c=3 d=9.41016e-119 t=1393466
deng ju 	燈具	c=1 d=1.11546e-197 t=1393466
deng kuan 	等款	c=1 d=5.094e-36 t=1393466
deng le 	登了	c=2 d=4.62496e-76 t=1393466
deng le 	等了	c=7 d=4.98093e-66 t=1393466
deng lu 	登錄	c=429 d=0.205975 t=1393466
deng lu 	登陸	c=2 d=4.30355e-190 t=1393466
deng lu guo 	登錄鍋	c=4 d=7.47197e-43 t=1393466
deng lu hou 	登錄後	c=1 d=1.04711e-306 t=1393466
deng lu shi 	登錄時	c=3 d=1.03936e-13 t=1393466
deng lu shu 	登錄數	c=1 d=0 t=1393466
deng ni 	等你	c=47 d=1.53115e-12 t=1393466
deng ni men 	等你們	c=1 d=2.88962e-72 t=1393466
deng pao 	燈泡	c=12 d=0.860708 t=1393466
deng ren 	等人	c=3 d=1.79621e-08 t=1393466
deng shan fu 	登山服	c=-1 d=0 t=1393466
deng shang 	登上	c=4 d=0 t=1393466
deng shang 	等上	c=1 d=2.98524e-102 t=1393466
deng shang lai 	登上來	c=1 d=0 t=1393466
deng shang qu 	登上去	c=5 d=5.24841e-05 t=1393466
deng shen 	等身	c=1 d=0 t=1393466
deng shui 	等誰	c=2 d=0 t=1393466
deng ta 	燈塔	c=1 d=2.47741e-26 t=1393466
deng ta 	等他	c=10 d=3.2398e-06 t=1393466
deng ta 	等她	c=1 d=0 t=1393466
deng tong 	等同	c=1 d=7.32853e-109 t=1393466
deng tong yu 	等同於	c=3 d=4.8863e-105 t=1393466
deng wen 	等溫	c=1 d=2.46423e-169 t=1393466
deng wo 	等我	c=131 d=0.99005 t=1393466
deng wo de 	等我的	c=1 d=0 t=1393466
deng wo men 	等我們	c=4 d=1.76787e-203 t=1393466
deng xi 	燈夕	c=2 d=7.23718e-226 t=1393466
deng xia 	燈下	c=7 d=2.26826e-05 t=1393466
deng xia 	等下	c=141 d=2.05018e-05 t=1393466
deng xia ai 	等下唉	c=1 d=3.89834e-124 t=1393466
deng xiao ping 	鄧小平	c=1 d=2.96801e-34 t=1393466
deng xin 	燈芯	c=2 d=2.06102e-67 t=1393466
deng yi 	等以	c=1 d=0 t=1393466
deng yi deng 	等一等	c=20 d=0.0107807 t=1393466
deng yi hui 	等一會	c=4 d=2.16478e-86 t=1393466
deng yi xia 	等一下	c=7 d=1.37587e-48 t=1393466
deng you shi jian 	等有時間	c=1 d=0 t=1393466
deng yu 	等於	c=56 d=0.000248517 t=1393466
deng yu ling 	等於零	c=1 d=0 t=1393466
deng yu shuo 	等於說	c=1 d=3.01021e-53 t=1393466
deng yue 	登月	c=5 d=1.26135e-55 t=1393466
deng yue cang 	登月艙	c=2 d=6.56983e-88 t=1393466
deng zai 	登載	c=3 d=1.00847e-11 t=1393466
deng zhe 	瞪着	c=1 d=0 t=1393466
deng zhe 	等着	c=25 d=0.790571 t=1393466
deng zhe ne 	等着呢	c=1 d=4.72271e-28 t=1393466
di 	低	c=255 d=0.164271 t=1393466
di 	地	c=800 d=1.02744 t=1393466
di 	底	c=7 d=1.97502e-38 t=1393466
di 	敵	c=2 d=0 t=1393466
di 	滴	c=19 d=2.53839e-18 t=1393466
di 	牴	c=2 d=4.42611e-59 t=1393466
di 	第	c=30 d=3.37546e-18 t=1393466
di 	迪	c=2 d=1.1748e-101 t=1393466
di a nuan 	地啊暖	c=1 d=8.69338e-177 t=1393466
di ai 	低矮	c=0 d=1.49983e-152 t=1393466
di ang 	低昂	c=0 d=0 t=1393466
di ba 	第八	c=2 d=0 t=1393466
di ba dai 	第八代	c=1 d=0 t=1393466
di ban 	地板	c=5 d=1.57046e-163 t=1393466
di ban 	底板	c=2 d=3.65331e-132 t=1393466
di ban ben 	低版本	c=2 d=0 t=1393466
di ban ben 	地版本	c=1 d=0 t=1393466
di ban shang 	地板上	c=2 d=2.76277e-132 t=1393466
di bao 	低保	c=3 d=0 t=1393466
di biao 	地標	c=1 d=2.96006e-120 t=1393466
di biao 	地表	c=1 d=1.47232e-51 t=1393466
di bu 	底部	c=6 d=3.6862e-54 t=1393466
di ceng 	底層	c=132 d=0.00358858 t=1393466
di ceng ci 	低層次	c=1 d=0 t=1393466
di ceng mo kuai 	底層模塊	c=1 d=2.21746e-16 t=1393466
di ceng shi 	底層是	c=1 d=1.68686e-210 t=1393466
di chan 	地產	c=1 d=6.69648e-283 t=1393466
di cheng 	地秤	c=2 d=2.36955e-208 t=1393466
di cheng ben 	低成本	c=6 d=1.98992e-07 t=1393466
di chu 	牴觸	c=13 d=1.13153e-42 t=1393466
di dan 	底單	c=2 d=1.61868e-254 t=1393466
di dao 	地道	c=1 d=0 t=1393466
di de 	低得	c=2 d=1.59858e-19 t=1393466
di deng dong wu 	低等動物	c=0 d=2.66296e-176 t=1393466
di deng ji 	低等級	c=1 d=0 t=1393466
di di 	地底	c=3 d=0 t=1393466
di di 	弟弟	c=5 d=5.13279e-37 t=1393466
di di 	滴滴	c=47 d=0.000227174 t=1393466
di di da da 	滴滴答答	c=0 d=1.74769e-176 t=1393466
di dian 	低點	c=2 d=0 t=1393466
di dian 	地點	c=12 d=0.0298969 t=1393466
di dian liang 	低電量	c=1 d=1 t=1337903
di diao 	低調	c=9 d=1.84991e-31 t=1393466
di diao dian 	低調點	c=1 d=5.39319e-31 t=1393466
di dong 	地動	c=2 d=1.32828e-75 t=1393466
di duan 	低端	c=10 d=0.962222 t=1393466
di duan 	地段	c=7 d=9.03116e-08 t=1393466
di er 	第二	c=58 d=0.00186406 t=1393466
di er ban 	第二版	c=6 d=1.08384e-06 t=1393466
di er bu 	第二步	c=1 d=2.07766e-279 t=1393466
di er bu 	第二部	c=4 d=1.57538e-141 t=1393466
di er ceng 	第二層	c=2 d=8.78544e-07 t=1393466
di er ci 	第二次	c=38 d=0.148823 t=1393466
di er da 	第二大	c=1 d=0 t=1393466
di er dai 	第二代	c=1 d=0 t=1393466
di er dan 	第二彈	c=1 d=1.04078e-29 t=1393466
di er dian 	第二點	c=4 d=1.0083e-09 t=1393466
di er fen 	第二分	c=1 d=8.4865e-129 t=1393466
di er gao 	第二稿	c=1 d=5.84243e-178 t=1393466
di er ge 	第二個	c=117 d=1.39192e-08 t=1393466
di er hang 	地而行	c=2 d=3.46765e-129 t=1393466
di er hang 	第二行	c=1 d=0 t=1393466
di er ji 	第二季	c=2 d=0 t=1393466
di er ji duan 	第二極端	c=1 d=0 t=1393466
di er jia 	第二家	c=1 d=2.40723e-129 t=1393466
di er jie duan 	第二階段	c=3 d=0 t=1393466
di er ju 	第二句	c=4 d=1.19753e-23 t=1393466
di er ju 	第二局	c=1 d=3.57094e-92 t=1393466
di er ju 	第二聚	c=1 d=0 t=1393466
di er kuai 	第二塊	c=3 d=0 t=1393466
di er lie 	第二列	c=2 d=6.89264e-211 t=1393466
di er nian 	第二年	c=1 d=8.75446e-83 t=1393466
di er pai 	第二排	c=1 d=1.74155e-203 t=1393466
di er qi 	第二期	c=10 d=0 t=1393466
di er shi qi 	第二十七	c=3 d=0 t=1393466
di er shou 	第二手	c=1 d=1.13498e-254 t=1393466
di er tai 	第二台	c=2 d=3.38904e-180 t=1393466
di er tian 	第二天	c=36 d=0.0287246 t=1393466
di er tiao 	第二條	c=5 d=4.40928e-73 t=1393466
di er wei 	第二位	c=1 d=4.24794e-105 t=1393466
di er xia 	第二下	c=1 d=7.03302e-66 t=1393466
di er zhang 	第二張	c=1 d=0 t=1393466
di er zhang tu 	第二張圖	c=1 d=0 t=1393466
di er zhi 	第二只	c=2 d=4.38463e-154 t=1393466
di er zhong 	第二種	c=9 d=1.82367e-10 t=1393466
di er zuo zhe 	第二作者	c=1 d=1.31386e-123 t=1393466
di fang 	地方	c=654 d=0.841018 t=1393466
di fen 	低分	c=1 d=0 t=1393466
di feng 	低峯	c=9 d=2.95783e-23 t=1393466
di feng qi 	低峯期	c=1 d=6.52622e-186 t=1393466
di ge 	地個	c=1 d=0 t=1393466
di gu 	低估	c=6 d=1.25139e-50 t=1393466
di gu 	低谷	c=1 d=0 t=1393466
di gua 	地瓜	c=0 d=7.73794e-220 t=1393466
di gua gan 	地瓜幹	c=1 d=7.77673e-219 t=1393466
di guang ren xi 	地廣人稀	c=0 d=9.00274e-207 t=1393466
di guang ren xi e 	地廣人稀額	c=1 d=9.04787e-206 t=1393466
di gui 	遞歸	c=22 d=1.96936e-12 t=1393466
di gui di 	遞歸地	c=2 d=2.58211e-13 t=1393466
di gui shi 	遞歸時	c=1 d=8.50812e-12 t=1393466
di guo 	地鍋	c=1 d=2.75552e-13 t=1393466
di guo 	帝國	c=6 d=1.13536e-258 t=1393466
di he zi 	地河子	c=2 d=2.36107e-19 t=1393466
di he zu 	地合租	c=1 d=8.57033e-127 t=1393466
di hua 	地滑	c=1 d=4.4886e-165 t=1393466
di hui 	詆譭	c=2 d=5.31605e-273 t=1393466
di ji 	低級	c=10 d=1.58422e-38 t=1393466
di ji 	第幾	c=1 d=2.45518e-67 t=1393466
di ji bie 	低級別	c=3 d=0 t=1393466
di ji ci 	第幾次	c=1 d=0 t=1393466
di ji ge 	第幾個	c=4 d=1.1083e-92 t=1393466
di jia 	低價	c=4 d=2.99602e-115 t=1393466
di jia zhi 	地價值	c=1 d=0 t=1393466
di jian 	遞減	c=2 d=4.55558e-133 t=1393466
di jiu 	第九	c=4 d=1.1883e-60 t=1393466
di jiu qu 	第九區	c=1 d=1.19425e-59 t=1393466
di jiu tiao 	第九條	c=1 d=0 t=1393466
di jiu zhang 	第九章	c=1 d=5.67573e-161 t=1393466
di ka fei yin 	低咖啡因	c=1 d=4.99504e-158 t=1393466
di kang 	抵抗	c=1 d=0 t=1393466
di ke yi 	地可以	c=1 d=0 t=1393466
di kou 	抵扣	c=21 d=3.41497e-96 t=1393466
di la 	滴蠟	c=1 d=1 t=1380002
di le 	低了	c=3 d=6.22334e-127 t=1393466
di li 	地理	c=5 d=1.03961e-104 t=1393466
di li wei zhi 	地理位置	c=1 d=1.42867e-138 t=1393466
di liao 	底料	c=2 d=4.93011e-172 t=1393466
di ling 	低齡	c=3 d=4.18038e-72 t=1393466
di ling hua 	低齡化	c=2 d=0 t=1393466
di liu 	第六	c=3 d=0 t=1393466
di liu ci 	第六次	c=1 d=0 t=1393466
di liu ge 	第六個	c=1 d=0 t=1393466
di liu qi 	第六期	c=1 d=0 t=1393466
di lou 	地漏	c=2 d=0.00494193 t=1393466
di lu 	滴露	c=5 d=3.22197e-85 t=1393466
di lv 	滴濾	c=1 d=0 t=1393466
di mian 	地面	c=14 d=7.65002e-55 t=1393466
di mian shang 	地面上	c=4 d=1.26075e-167 t=1393466
di ming 	地名	c=4 d=4.82945e-85 t=1393466
di niu 	地牛	c=1 d=7.53326e-139 t=1393466
di nuan 	地暖	c=2 d=7.68756e-201 t=1393466
di pan 	地盤	c=2 d=6.01255e-104 t=1393466
di pan 	底盤	c=7 d=1.64433e-102 t=1393466
di pei 	低配	c=35 d=7.56464e-31 t=1393466
di pei ban 	低配版	c=4 d=0 t=1393466
di piao 	地票	c=1 d=2.9453e-120 t=1393466
di pin 	低頻	c=4 d=3.30795e-45 t=1393466
di pin cao zuo 	低頻操作	c=1 d=4.87254e-160 t=1393466
di pu 	地鋪	c=1 d=0 t=1393466
di qi 	第七	c=4 d=2.68211e-107 t=1393466
di qi zhang 	第七章	c=4 d=1.29043e-176 t=1393466
di qing xi du 	低清晰度	c=1 d=1 t=1335631
di qiu 	地球	c=58 d=5.96973e-20 t=1393466
di qiu da pao 	地球大炮	c=2 d=0 t=1393466
di qiu ren 	地球人	c=2 d=0 t=1393466
di qiu shang 	地球上	c=1 d=1.22365e-51 t=1393466
di qu 	地區	c=72 d=1.46682e-07 t=1393466
di qu xing 	地區性	c=1 d=2.35244e-211 t=1393466
di que 	的確	c=121 d=0.433089 t=1393466
di que ru guo 	的確如果	c=1 d=1.69375e-111 t=1393466
di que shi 	的確是	c=1 d=3.50963e-06 t=1393466
di ren 	敵人	c=2 d=4.30655e-31 t=1393466
di san 	第三	c=27 d=0.00188279 t=1393466
di san ban 	第三版	c=3 d=2.2094e-32 t=1393466
di san ben 	第三本	c=2 d=0 t=1393466
di san bu 	第三部	c=1 d=2.15166e-279 t=1393466
di san ci 	第三次	c=5 d=2.07961e-18 t=1393466
di san dai 	第三代	c=1 d=1.93679e-159 t=1393466
di san dian 	地三點	c=1 d=5.9325e-64 t=1393466
di san duan 	地三段	c=1 d=3.35863e-18 t=1393466
di san fang 	第三方	c=241 d=0.63792 t=1393466
di san fang bao 	第三方包	c=1 d=2.80823e-30 t=1393466
di san fang en 	第三方恩	c=1 d=0 t=1393466
di san fang ku 	第三方庫	c=2 d=8.79712e-52 t=1393466
di san ge 	第三個	c=28 d=6.57942e-17 t=1393466
di san hang 	第三行	c=2 d=0 t=1393466
di san ji 	第三集	c=2 d=0 t=1393466
di san jie duan 	第三階段	c=2 d=0 t=1393466
di san kuai 	第三塊	c=1 d=1 t=1336166
di san pian 	第三篇	c=1 d=8.60513e-204 t=1393466
di san qi 	第三期	c=11 d=0 t=1393466
di san shi jie 	第三世界	c=1 d=1.41941e-91 t=1393466
di san tiao 	第三條	c=2 d=0 t=1393466
di san zhang 	第三章	c=2 d=0.807065 t=1393466
di san zhe 	第三者	c=1 d=2.81378e-112 t=1393466
di san zhi mao 	第三隻貓	c=1 d=0 t=1393466
di san zhong 	第三種	c=6 d=1.19734e-60 t=1393466
di shang 	地上	c=28 d=2.24468e-14 t=1393466
di shi 	的是	c=4 d=5.42045e-149 t=1393466
di shi 	第十	c=2 d=1.46552e-26 t=1393466
di shi ni 	迪士尼	c=8 d=1.3828e-113 t=1393466
di shou ru 	低收入	c=1 d=5.65457e-264 t=1393466
di shui 	抵稅	c=2 d=1.10978e-137 t=1393466
di shui 	滴水	c=0 d=0 t=1393466
di shui hu 	滴水湖	c=1 d=0 t=1393466
di shuo 	地說	c=0 d=0 t=1393466
di si 	第四	c=5 d=7.50711e-11 t=1393466
di si ban 	第四版	c=1 d=2.81262e-19 t=1393466
di si dai 	第四代	c=1 d=0 t=1393466
di si dian 	第四點	c=1 d=7.54474e-10 t=1393466
di si ge 	第四個	c=3 d=3.93242e-50 t=1393466
di si ni 	迪斯尼	c=1 d=0 t=1393466
di si qi 	第四期	c=4 d=0 t=1393466
di si tian 	第四天	c=1 d=0 t=1393466
di si zhang 	第四章	c=4 d=0.000236397 t=1393466
di si zhong 	第四種	c=2 d=7.963e-174 t=1393466
di su 	低速	c=2 d=6.32472e-170 t=1393466
di tan 	地毯	c=20 d=3.27364e-54 t=1393466
di tan shang 	地毯上	c=1 d=0 t=1393466
di te lv 	底特律	c=1 d=1 t=1325722
di tie 	地鐵	c=126 d=0.386811 t=1393466
di tie kou 	地鐵口	c=4 d=1.56369e-171 t=1393466
di tie shi 	地鐵是	c=1 d=0 t=1393466
di tie tu 	地鐵圖	c=3 d=3.88076e-159 t=1393466
di tie yi hao xian 	地鐵一號線	c=1 d=0 t=1393466
di tie zhan 	地鐵站	c=33 d=1.34514e-47 t=1393466
di tou 	低頭	c=2 d=0 t=1393466
di tu 	地圖	c=65 d=0.47187 t=1393466
di tu zhong 	地圖中	c=1 d=0 t=1393466
di wai 	地外	c=2 d=5.35074e-51 t=1393466
di wai sheng ming 	地外生命	c=4 d=7.37387e-51 t=1393466
di wei 	地位	c=11 d=0.000569928 t=1393466
di wen 	低溫	c=6 d=1.48796e-30 t=1393466
di wen la zhu 	低溫蠟燭	c=1 d=1 t=1379525
di wu 	第五	c=2 d=0 t=1393466
di wu ge 	第五個	c=1 d=0 t=1393466
di wu qi 	第五期	c=1 d=0 t=1393466
di wu tiao 	第五條	c=2 d=6.08022e-118 t=1393466
di wu zhang 	第五章	c=1 d=3.9251e-175 t=1393466
di xia 	低下	c=1 d=1.50662e-116 t=1393466
di xia 	地下	c=16 d=7.0127e-32 t=1393466
di xia 	底下	c=2 d=1.43354e-178 t=1393466
di xia cheng 	地下城	c=1 d=7.73079e-120 t=1393466
di xia tie 	地下鐵	c=3 d=0 t=1393466
di xian 	地線	c=2 d=5.18291e-180 t=1393466
di xian 	底線	c=4 d=0.263158 t=1393466
di xiao 	低效	c=8 d=7.284e-08 t=1393466
di xiao 	抵消	c=3 d=4.458e-114 t=1393466
di xin 	地心	c=4 d=4.57757e-120 t=1393466
di xin 	的信	c=1 d=1.2823e-278 t=1393466
di xin yin li 	地心引力	c=1 d=0 t=1393466
di ya 	低壓	c=5 d=0.000784864 t=1393466
di ya 	抵押	c=11 d=2.73725e-13 t=1393466
di ya ban 	低壓版	c=2 d=2.24114e-229 t=1393466
di yan ye 	滴眼液	c=7 d=2.89347e-117 t=1393466
di yao 	低腰	c=0 d=2.78712e-148 t=1393466
di yao na ge 	低腰那個	c=1 d=2.80109e-147 t=1393466
di yi 	敵意	c=1 d=0 t=1393466
di yi 	第一	c=79 d=0.00468877 t=1393466
di yi ban 	第一版	c=10 d=1.0057e-08 t=1393466
di yi ben 	第一本	c=3 d=4.71823e-105 t=1393466
di yi bi 	第一筆	c=1 d=9.30688e-97 t=1393466
di yi bu 	第一步	c=22 d=5.88796e-16 t=1393466
di yi bu 	第一部	c=2 d=5.57413e-125 t=1393466
di yi bu en 	第一步嗯	c=1 d=0 t=1393466
di yi bu fen 	第一部分	c=2 d=5.94685e-63 t=1393466
di yi ci 	第一次	c=155 d=0.369723 t=1393466
di yi ci chi 	第一次吃	c=1 d=0 t=1393466
di yi dai 	第一代	c=1 d=1 t=1335266
di yi dao 	第一到	c=1 d=7.27569e-259 t=1393466
di yi dian 	第一點	c=2 d=4.87617e-110 t=1393466
di yi duan 	地一段	c=1 d=1.05705e-35 t=1393466
di yi duan 	第一段	c=1 d=0 t=1393466
di yi dun fan 	第一頓飯	c=1 d=0 t=1393466
di yi fang 	第一方	c=2 d=3.27514e-16 t=1393466
di yi fen 	第一份	c=5 d=2.85092e-129 t=1393466
di yi feng 	第一封	c=2 d=0 t=1393466
di yi gao 	第一稿	c=3 d=4.13615e-56 t=1393466
di yi ge 	第一個	c=220 d=0.0135686 t=1393466
di yi ge gai 	第一個改	c=1 d=0 t=1393466
di yi ge yue 	第一個月	c=2 d=3.37352e-70 t=1393466
di yi hang 	第一行	c=4 d=2.19751e-233 t=1393466
di yi hui he 	第一回合	c=1 d=2.74551e-29 t=1393466
di yi ji 	第一季	c=1 d=0 t=1393466
di yi ji 	第一集	c=3 d=0 t=1393466
di yi ji du 	第一季度	c=2 d=2.86486e-59 t=1393466
di yi jia 	第一家	c=2 d=2.37139e-129 t=1393466
di yi jian shi 	第一件事	c=1 d=8.05699e-165 t=1393466
di yi jie duan 	第一階段	c=4 d=3.61054e-251 t=1393466
di yi ju 	第一句	c=5 d=0.0471227 t=1393466
di yi ju 	第一局	c=9 d=3.47252e-28 t=1393466
di yi ju hua 	第一句話	c=3 d=2.33529e-125 t=1393466
di yi kuai 	第一塊	c=1 d=0 t=1393466
di yi kuan 	第一款	c=1 d=0 t=1393466
di yi lun 	第一輪	c=2 d=0.10435 t=1393466
di yi ming 	第一名	c=1 d=0 t=1393466
di yi nian 	地一年	c=1 d=0 t=1393466
di yi pai 	第一排	c=2 d=1.81842e-123 t=1393466
di yi pi 	第一批	c=3 d=1.04546e-23 t=1393466
di yi pian 	第一篇	c=5 d=3.4494e-67 t=1393466
di yi pian wen zhang 	第一篇文章	c=1 d=5.01597e-119 t=1393466
di yi ping 	第一屏	c=2 d=1.64544e-217 t=1393466
di yi ping 	第一憑	c=1 d=1.64192e-304 t=1393466
di yi qi 	第一期	c=22 d=9.45006e-12 t=1393466
di yi ren 	第一人	c=1 d=3.8227e-70 t=1393466
di yi ren cheng 	第一人稱	c=2 d=0 t=1393466
di yi shi jian 	第一時間	c=16 d=3.77309e-34 t=1393466
di yi shou 	第一手	c=1 d=3.66208e-65 t=1393466
di yi shou de 	第一手的	c=1 d=0 t=1393466
di yi tai 	地一臺	c=1 d=1.13351e-180 t=1393466
di yi tai 	第一肽	c=1 d=1.13919e-180 t=1393466
di yi ti dui 	第一梯隊	c=2 d=0 t=1393466
di yi tian 	第一天	c=5 d=0.0572108 t=1393466
di yi tiao 	第一條	c=26 d=1.28599e-08 t=1393466
di yi tong jin 	第一桶金	c=1 d=2.37819e-192 t=1393466
di yi wei 	第一位	c=5 d=5.22778e-135 t=1393466
di yi xiang 	第一項	c=5 d=1.20294e-56 t=1393466
di yi yan 	第一眼	c=3 d=1.33471e-73 t=1393466
di yi yao wu 	第一要務	c=1 d=1 t=1343642
di yi ye 	第一頁	c=1 d=0 t=1393466
di yi yin xiang 	第一印象	c=1 d=0 t=1393466
di yi zhang 	第一張	c=1 d=0 t=1393466
di yi zhang 	第一章	c=13 d=1.75963e-60 t=1393466
di yi zhang tu 	地一張圖	c=1 d=0 t=1393466
di yi zhong 	第一種	c=8 d=1.027e-78 t=1393466
di yi zhou 	第一週	c=2 d=7.54071e-180 t=1393466
di yong 	抵用	c=2 d=1.00571e-155 t=1393466
di you xian ji 	低優先級	c=1 d=3.58056e-153 t=1393466
di yu 	低於	c=30 d=2.45073e-05 t=1393466
di yu 	抵禦	c=4 d=8.44301e-98 t=1393466
di yu duo shao 	低於多少	c=1 d=0 t=1393466
di zeng 	遞增	c=1 d=0 t=1393466
di zhan qu 	敵佔區	c=2 d=0 t=1393466
di zhen 	地震	c=2 d=3.01505e-160 t=1393466
di zhi 	地址	c=764 d=1.23846 t=1393466
di zhi 	抵制	c=20 d=1.59793e-73 t=1393466
di zhi ba 	地址吧	c=1 d=0 t=1393466
di zhi ben 	地址本	c=1 d=0 t=1393466
di zhi he 	地址和	c=1 d=1.22348e-20 t=1393466
di zhi kong jian 	地址空間	c=1 d=0 t=1393466
di zhi lan 	地址欄	c=2 d=4.62013e-240 t=1393466
di zhi me 	地址麼	c=1 d=0 t=1393466
di zhu 	地主	c=2 d=1.70983e-126 t=1393466
di zhu 	抵住	c=1 d=0 t=1393466
di zhuan 	地磚	c=4 d=0 t=1393466
di zi 	弟子	c=1 d=5.5791e-25 t=1393466
di zi gui 	弟子規	c=1 d=5.05121e-25 t=1393466
dia 	嗲	c=0 d=1.93337e-202 t=1393466
dia li 	嗲裏	c=7 d=2.26581e-152 t=1393466
dia mei 	嗲每	c=145 d=0.133322 t=1393466
dia nuan qi 	嗲暖氣	c=1 d=2.01817e-202 t=1393466
dia yong 	嗲用	c=6 d=2.70841e-16 t=1393466
dian 	墊	c=7 d=3.188e-81 t=1393466
dian 	店	c=96 d=0.380983 t=1393466
dian 	甸	c=1 d=0 t=1393466
dian 	碘	c=2 d=8.22168e-160 t=1393466
dian 	電	c=80 d=0.0148832 t=1393466
dian 	點	c=926 d=0.650509 t=1393466
dian ba 	點吧	c=1 d=0 t=1393466
dian ban 	墊板	c=1 d=0 t=1393466
dian biao 	電錶	c=3 d=6.67406e-288 t=1393466
dian bo 	顛簸	c=1 d=0 t=1393466
dian bo 	點撥	c=1 d=2.93249e-10 t=1393466
dian bu jin qu 	點不進去	c=3 d=3.71592e-119 t=1393466
dian bu kai 	點不開	c=3 d=5.18895e-18 t=1393466
dian bu liang 	點不亮	c=1 d=1 t=1315511
dian bu liao 	點不了	c=2 d=8.77889e-57 t=1393466
dian cai 	點菜	c=3 d=1.14981e-54 t=1393466
dian can 	點餐	c=2 d=1.89458e-282 t=1393466
dian can ji 	點餐機	c=1 d=0 t=1393466
dian cang 	典藏	c=1 d=0 t=1393466
dian chang 	電廠	c=1 d=0 t=1393466
dian che 	電車	c=4 d=1.08421e-10 t=1393466
dian chi 	電池	c=95 d=0.00130838 t=1393466
dian chui 	電鎚	c=1 d=8.63181e-211 t=1393466
dian chui feng 	電吹風	c=1 d=0 t=1393466
dian ci 	電磁	c=13 d=1.03016e-86 t=1393466
dian ci 	點此	c=2 d=2.54663e-215 t=1393466
dian ci bo 	電磁波	c=3 d=9.06291e-108 t=1393466
dian ci lu 	電磁爐	c=30 d=3.59704e-15 t=1393466
dian cuo 	點錯	c=3 d=2.60044e-08 t=1393466
dian cuo le 	點錯了	c=6 d=1.45623e-10 t=1393466
dian dan 	點單	c=1 d=7.91738e-224 t=1393466
dian dao 	顛倒	c=3 d=2.08479e-143 t=1393466
dian dao 	點到	c=20 d=0.0230521 t=1393466
dian dao guo 	點到過	c=1 d=0 t=1393466
dian de 	點得	c=1 d=5.74817e-75 t=1393466
dian de 	點的	c=2 d=3.36048e-142 t=1393466
dian di 	墊底	c=1 d=0 t=1393466
dian di 	點滴	c=1 d=0 t=1393466
dian dian 	點點	c=8 d=0.109154 t=1393466
dian dian zan 	點點讚	c=1 d=9.19518e-102 t=1393466
dian dong 	電動	c=45 d=4.46161e-06 t=1393466
dian dong che 	電動車	c=90 d=5.70316e-12 t=1393466
dian dong de 	電動的	c=1 d=3.16696e-297 t=1393466
dian dong ji 	電動機	c=2 d=1.71812e-132 t=1393466
dian dong qi che 	電動汽車	c=1 d=5.05809e-41 t=1393466
dian dong ya shua 	電動牙刷	c=6 d=1.99121e-44 t=1393466
dian duan 	點短	c=3 d=3.61839e-159 t=1393466
